SchoolID,School,var,est,moe,type,description
1,Bettye Henderson Holston,healthcover,24.86536,[14.2814 - 35.4494],pct,Percentage without health coverage
2,Barnett Shoals,healthcover,16.450232,[9.98223 - 22.9182],pct,Percentage without health coverage
3,Barrow,healthcover,17.564282,[11.6843 - 23.4443],pct,Percentage without health coverage
4,Choice Zone-West,healthcover,42.731646,[30.1874 - 55.2754],pct,Percentage without health coverage
5,Johnnie Lay Burks,healthcover,11.613203,[6.71325 - 16.5135],pct,Percentage without health coverage
6,Cleveland Road,healthcover,25.056646,[12.3166 - 37.7966],pct,Percentage without health coverage
7,Fowler Drive,healthcover,41.95009,[27.8380 - 56.0620],pct,Percentage without health coverage
8,Gaines,healthcover,19.043183,[11.2034 - 26.8834],pct,Percentage without health coverage
9,Howard B Stroud,healthcover,27.771753,[17.5798 - 37.9638],pct,Percentage without health coverage
10,Judia Jackson Harris,healthcover,26.113061,[14.1571 - 38.0691],pct,Percentage without health coverage
11,Choice Zone-East,healthcover,21.607014,[12.7875 - 30.4275],pct,Percentage without health coverage
12,Oglethorpe,healthcover,22.250561,[12.8428 - 31.6588],pct,Percentage without health coverage
13,Timothy Rd.,healthcover,12.30886,[7.01686 - 17.6008],pct,Percentage without health coverage
14,Whit Davis,healthcover,9.898534,[4.21453 - 15.5825],pct,Percentage without health coverage
15,Whitehead Rd.,healthcover,16.668673,[9.02467 - 24.3126],pct,Percentage without health coverage
16,Winterville,healthcover,32.838368,[13.0421 - 52.6341],pct,Percentage without health coverage
0,School Zone not specified by respondent,healthcover,29.305806,[20.6814 - 37.9294],pct,Percentage without health coverage
1,Bettye Henderson Holston,employloss,28.005444,[17.4214 - 38.5894],pct,Percentage that lost a job in the last 12 months
2,Barnett Shoals,employloss,13.824317,[7.55231 - 20.0963],pct,Percentage that lost a job in the last 12 months
3,Barrow,employloss,11.152494,[7.03641 - 15.2681],pct,Percentage that lost a job in the last 12 months
4,Choice Zone-West,employloss,24.607791,[14.6111 - 34.6031],pct,Percentage that lost a job in the last 12 months
5,Johnnie Lay Burks,employloss,14.9005,[8.62852 - 21.1722],pct,Percentage that lost a job in the last 12 months
6,Cleveland Road,employloss,9.267654,[2.40765 - 16.1276],pct,Percentage that lost a job in the last 12 months
7,Fowler Drive,employloss,18.597864,[7.62186 - 29.5738],pct,Percentage that lost a job in the last 12 months
8,Gaines,employloss,21.309138,[12.2936 - 30.3256],pct,Percentage that lost a job in the last 12 months
9,Howard B Stroud,employloss,20.374158,[12.1428 - 28.6068],pct,Percentage that lost a job in the last 12 months
10,Judia Jackson Harris,employloss,14.497765,[6.26572 - 22.7292],pct,Percentage that lost a job in the last 12 months
11,Choice Zone-East,employloss,37.817847,[26.6457 - 48.9897],pct,Percentage that lost a job in the last 12 months
12,Oglethorpe,employloss,14.366364,[7.31036 - 21.4226],pct,Percentage that lost a job in the last 12 months
13,Timothy Rd.,employloss,8.530452,[4.02245 - 13.0384],pct,Percentage that lost a job in the last 12 months
14,Whit Davis,employloss,18.869676,[10.6376 - 27.1016],pct,Percentage that lost a job in the last 12 months
15,Whitehead Rd.,employloss,12.840765,[5.78476 - 19.8967],pct,Percentage that lost a job in the last 12 months
16,Winterville,employloss,20.506555,[4.63051 - 36.3821],pct,Percentage that lost a job in the last 12 months
0,School Zone not specified by respondent,employloss,19.638471,[13.1703 - 26.1063],pct,Percentage that lost a job in the last 12 months
1,Bettye Henderson Holston,evictthreat,20.50036572,[10.1123 - 30.8883],pct,Percentage that were threatened with eviction in the last 90 days
2,Barnett Shoals,evictthreat,2.377744748,[0.02574 - 4.72974],pct,Percentage that were threatened with eviction in the last 90 days
3,Barrow,evictthreat,1.967224696,[0.59527 - 3.33927],pct,Percentage that were threatened with eviction in the last 90 days
4,Choice Zone-West,evictthreat,7.359630121,[1.87168 - 12.8478],pct,Percentage that were threatened with eviction in the last 90 days
5,Johnnie Lay Burks,evictthreat,3.222675026,[0.28265 - 6.16265],pct,Percentage that were threatened with eviction in the last 90 days
6,Cleveland Road,evictthreat,1.845929612,[0.27792 - 3.41392],pct,Percentage that were threatened with eviction in the last 90 days
7,Fowler Drive,evictthreat,8.514233663,[1.06623 - 15.9622],pct,Percentage that were threatened with eviction in the last 90 days
8,Gaines,evictthreat,8.679426835,[3.38747 - 13.9717],pct,Percentage that were threatened with eviction in the last 90 days
9,Howard B Stroud,evictthreat,8.43588942,[3.14388 - 13.7278],pct,Percentage that were threatened with eviction in the last 90 days
10,Judia Jackson Harris,evictthreat,5.376999359,[0.67294 - 10.0804],pct,Percentage that were threatened with eviction in the last 90 days
11,Choice Zone-East,evictthreat,16.3817535,[7.36576 - 25.3976],pct,Percentage that were threatened with eviction in the last 90 days
12,Oglethorpe,evictthreat,1.59250465,[0.41656 - 2.76856],pct,Percentage that were threatened with eviction in the last 90 days
13,Timothy Rd.,evictthreat,4.271129668,[1.33112 - 7.21112],pct,Percentage that were threatened with eviction in the last 90 days
14,Whit Davis,evictthreat,5.267486667,[0.95548 - 9.57948],pct,Percentage that were threatened with eviction in the last 90 days
15,Whitehead Rd.,evictthreat,1.646288333,[0.66628 - 2.62628],pct,Percentage that were threatened with eviction in the last 90 days
16,Winterville,evictthreat,3.002828774,[-0.1336 - 6.13886],pct,Percentage that were threatened with eviction in the last 90 days
0,School Zone not specified by respondent,evictthreat,8.752293182,[2.87223 - 14.6323],pct,Percentage that were threatened with eviction in the last 90 days
1,Bettye Henderson Holston,loan,6.336705354,[2.22071 - 10.4521],pct,Percentage who took out a high interest loan in the last 90 days
2,Barnett Shoals,loan,4.830019401,[1.30201 - 8.35801],pct,Percentage who took out a high interest loan in the last 90 days
3,Barrow,loan,5.525578349,[1.99758 - 9.05358],pct,Percentage who took out a high interest loan in the last 90 days
4,Choice Zone-West,loan,3.955900768,[1.60392 - 6.30792],pct,Percentage who took out a high interest loan in the last 90 days
5,Johnnie Lay Burks,loan,2.342237485,[0.57829 - 4.10629],pct,Percentage who took out a high interest loan in the last 90 days
6,Cleveland Road,loan,3.599992896,[1.24799 - 5.95199],pct,Percentage who took out a high interest loan in the last 90 days
