School,est,var,description,type
Bettye Henderson Holston,137.2867587,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Barnett Shoals,129.4605809,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Barrow,225.1272988,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Johnnie Lay Burks,175.2301293,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Choice Zone-East,108.8169643,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Choice Zone-West,129.0081522,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Cleveland Road,114.8226575,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Fowler Drive,112.6315789,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Gaines,124.9571918,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Howard B Stroud,162.9824957,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Judia Jackson Harris,116.1065884,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Oglethorpe,129.4277929,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Timothy Rd.,123.25,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Whit Davis,115.7852153,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Whitehead Rd.,117.6147074,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Winterville,115.1515152,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Bettye Henderson Holston,98.28262067,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Barnett Shoals,80.29618035,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Barrow,188.1629425,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Johnnie Lay Burks,168.3524266,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Choice Zone-East,82.99016035,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Choice Zone-West,827.7607539,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Cleveland Road,63.75197063,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Fowler Drive,218.0185759,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Gaines,168.634404,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
